Date,Sales_USD_cumsum,Number_of_Sales_cumsum,Sales_USD,Number_of_Sales
2018-12-03,62531513,2066608,35403,7209
2018-12-04,62575689,2072935,44175,6327
2018-12-05,62632739,2086659,57049,13724
2018-12-06,62667949,2092303,35210,5644
2018-12-07,62702239,2098744,34289,6441
2018-12-08,62765273,2103033,63034,4289
2018-12-09,62808412,2107508,43138,4475
2018-12-10,62839316,2110623,30903,3115
2018-12-11,63006328,2114185,167012,3562
2018-12-12,63884107,2118289,877778,4104
2018-12-13,63928454,2123666,44347,5377
2018-12-14,64112198,2128526,183743,4860
2018-12-15,64225983,2134964,113785,6438
2018-12-16,64420264,2141005,194280,6041
2018-12-17,64474344,2145721,54080,4716
2018-12-18,64537597,2149491,63252,3770
2018-12-19,64926900,2153566,389303,4075
2018-12-20,65997500,2158541,1070599,4975
2018-12-21,68889504,2165676,2892004,7135
2018-12-22,69488604,2169700,599099,4024
2018-12-23,70669689,2176718,1181085,7018
2018-12-24,70739685,2180666,69996,3948
2018-12-25,70806581,2183839,66895,3173
2018-12-26,70832422,2186801,25840,2962
2018-12-27,70860969,2189680,28547,2879
2018-12-28,70920253,2192927,59284,3247
2018-12-29,70945507,2196075,25253,3148
2018-12-30,71006481,2199161,60974,3086
2018-12-31,71063015,2202516,56533,3355
2019-01-01,71084245,2204983,21230,2467
2019-01-02,71112148,2207674,27902,2691
2019-01-03,71157226,2210421,45078,2747
2019-01-04,71210196,2213169,52969,2748
2019-01-05,71239505,2216027,29308,2858
2019-01-06,71972763,2218787,733257,2760
2019-01-07,72010045,2221937,37282,3150
2019-01-08,72065939,2224317,55894,2380
2019-01-09,72107046,2226839,41106,2522
2019-01-10,72152598,2230760,45551,3921
2019-01-11,72212785,2238886,60187,8126
2019-01-12,72283540,2244791,70754,5905
2019-01-13,72373794,2250398,90253,5607
2019-01-14,72466168,2254864,92374,4466
2019-01-15,72498325,2259130,32156,4266
2019-01-16,72557491,2263535,59166,4405
2019-01-17,72602799,2267327,45307,3792
2019-01-18,72660144,2271844,57345,4517
2019-01-19,72701694,2276122,41550,4278
2019-01-20,72766620,2280868,64925,4746
2019-01-21,72800019,2285133,33398,4265
2019-01-22,72824024,2287656,24005,2523
2019-01-23,72851666,2290710,27642,3054
2019-01-24,72880060,2294557,28393,3847
2019-01-25,72925789,2297884,45729,3327
2019-01-26,72962164,2305409,36375,7525
2019-01-27,73024230,2312360,62065,6951
2019-01-28,73084258,2317015,60028,4655
2019-01-29,73110408,2320337,26150,3322
2019-01-30,74000187,2323722,889778,3385
2019-01-31,74028029,2326709,27841,2987
2019-02-01,74060083,2330595,32054,3886
2019-02-02,74096598,2334745,36515,4150
2019-02-03,74137319,2339478,40721,4733
2019-02-04,74170174,2342756,32854,3278
2019-02-05,74224445,2345756,54271,3000
2019-02-06,74277798,2348315,53352,2559
2019-02-07,74312509,2351163,34711,2848
2019-02-08,74340995,2354362,28486,3199
2019-02-09,74367152,2360413,26156,6051
2019-02-10,74421249,2366101,54097,5688
2019-02-11,74467346,2370703,46096,4602
2019-02-12,74494735,2374606,27388,3903
2019-02-13,74521207,2378405,26472,3799
2019-02-14,74554007,2383094,32800,4689
2019-02-15,74587946,2386801,33938,3707
2019-02-16,74617141,2393432,29194,6631
2019-02-17,74677854,2398695,60712,5263
2019-02-18,74715625,2403185,37771,4490
2019-02-19,74775724,2405816,60098,2631
2019-02-20,74835000,2408851,59275,3035
2019-02-21,74889040,2412505,54040,3654
2019-02-22,74931254,2416910,42213,4405
2019-02-23,74969026,2421834,37771,4924
2019-02-24,75002523,2425881,33497,4047
2019-02-25,75042630,2430067,40106,4186
2019-02-26,75099164,2434586,56533,4519
2019-02-27,75157019,2437462,57854,2876
2019-02-28,75201432,2439974,44413,2512
2019-03-01,75257595,2443706,56163,3732
2019-03-02,75352948,2449247,95353,5541
2019-03-03,75413891,2456201,60942,6954
2019-03-04,75504106,2461409,90215,5208
2019-03-05,75601210,2466233,97104,4824
2019-03-06,75669780,2471446,68569,5213
2019-03-07,75727898,2477163,58118,5717
2019-03-08,75807106,2483787,79207,6624
2019-03-09,75876420,2490044,69314,6257
2019-03-10,75957360,2494791,80939,4747
2019-03-11,76010523,2498854,53162,4063
2019-03-12,76120706,2503351,110183,4497
2019-03-13,76182591,2507321,61884,3970
2019-03-14,76259385,2511237,76794,3916
2019-03-15,76329897,2515848,70512,4611
2019-03-16,76392724,2523290,62826,7442
2019-03-17,76476659,2529944,83934,6654
2019-03-18,76549574,2535233,72915,5289
2019-03-19,76616901,2540306,67326,5073
2019-03-20,76683477,2545242,66575,4936
2019-03-21,76737721,2549747,54244,4505
2019-03-22,76792987,2554740,55266,4993
2019-03-23,76872436,2560884,79448,6144
2019-03-24,76964160,2567209,91724,6325
2019-03-25,77028738,2572519,64577,5310
2019-03-26,77110114,2577376,81376,4857
2019-03-27,77161783,2581878,51669,4502
2019-03-28,77277217,2586038,115433,4160
2019-03-29,77390279,2612747,113062,26709
2019-03-30,77462293,2622364,72013,9617
2019-03-31,77540651,2633236,78358,10872
2019-04-01,77638970,2641329,98319,8093
2019-04-02,77757668,2646808,118697,5479
2019-04-03,77827960,2651123,70291,4315
2019-04-04,77919857,2654992,91896,3869
2019-04-05,77995759,2658733,75902,3741
2019-04-06,78052338,2663028,56579,4295
2019-04-07,78118993,2667100,66655,4072
2019-04-08,78180400,2670017,61406,2917
2019-04-09,78243297,2673380,62896,3363
2019-04-10,78297613,2676939,54315,3559
2019-04-11,78359844,2680019,62231,3080
2019-04-12,78434953,2683757,75108,3738
2019-04-13,78497771,2690317,62817,6560
2019-04-14,78542102,2697584,44330,7267
2019-04-15,78640649,2701361,98547,3777
2019-04-16,78700926,2705333,60276,3972
2019-04-17,78742424,2709730,41497,4397
2019-04-18,78789579,2714200,47155,4470
2019-04-19,78842649,2719267,53069,5067
2019-04-20,78888576,2723943,45927,4676
2019-04-21,78948877,2728502,60301,4559
2019-04-22,78991331,2732488,42453,3986
2019-04-23,79041017,2736294,49686,3806
2019-04-24,79142835,2740146,101817,3852
2019-04-25,79187168,2744098,44332,3952
2019-04-26,79237498,2747773,50329,3675
2019-04-27,79308856,2752420,71358,4647
2019-04-28,79355796,2757057,46939,4637
2019-04-29,79395902,2760911,40105,3854
2019-04-30,79601602,2764992,205700,4081
2019-05-01,79646084,2770262,44482,5270
2019-05-02,79715505,2775112,69420,4850
2019-05-03,79765510,2779295,50005,4183
2019-05-04,79809435,2784200,43925,4905
2019-05-05,79865156,2788594,55721,4394
2019-05-06,79903413,2792281,38256,3687
2019-05-07,79941227,2794586,37814,2305
2019-05-08,79994460,2798708,53232,4122
2019-05-09,80036520,2802865,42059,4157
2019-05-10,80123900,2808345,87380,5480
2019-05-11,80173249,2815666,49348,7321
2019-05-12,80236815,2821164,63565,5498
2019-05-13,80308062,2825853,71247,4689
2019-05-14,80347802,2829755,39739,3902
2019-05-15,80418376,2832209,70573,2454
2019-05-16,80466659,2834464,48282,2255
2019-05-17,80590509,2837967,123850,3503
